"Datum","Uhrzeit","Allgemein","Geben Sie Ihr Alter an (freiwillig)","Wohnen Sie in Moosburg?","An welchen Tagen besuchen Sie das Fest im Wesentlichen? (mehrfache Antworten möglich)","Zu welchen Tageszeiten besuchen Sie das Fest im Wesentlichen? (mehrfache Antworten möglich)","Erreichbarkeit","Wie kommen Sie zum Fest? (mehrfache Antworten möglich)","Wie bewerten Sie insgesamt die Erreichbarkeit des Festplatzes für Sie persönlich?","Wollen Sie uns etwas zum Thema Erreichbarkeit mitteilen? (optional)","Essen","Nutzen Sie die Essensangebote auf dem Fest? (mehrfache Antworten möglich)","Sollen bei den Essensangeboten folgende Ernährungspräferenzen bzw. -restriktionen mehr berücksichtigt werden? (mehrfache Antworten möglich)","Wie leicht fällt es Ihnen, geeignetes Essen zu finden?","Wie bewerten Sie die Preise für Essen auf dem Fest für Sie persönlich?","Wie bewerten Sie insgesamt das Angebot an Essen auf dem Fest für Sie persönlich?","Getränke","Nutzen Sie die Getränkeangebote auf dem Fest? (mehrfache Antworten möglich)","Wie bewerten Sie die Preise für Getränke auf dem Fest für Sie persönlich?","Wie bewerten Sie insgesamt das Angebot das Angebot an Getränken auf dem Fest für Sie persönlich?","Programm & Fahrgeschäfte","Wie bewerten Sie insgesamt das Programm (Musikgruppen etc.) auf dem Fest für Sie persönlich?","Wie bewerten Sie insgesamt die Auswahl an Fahrgeschäften und Ständen auf dem Fest für Sie persönlich?","Wie gefällt Ihnen das Rahmenprogramm zur Herbstschau? (Umzug, Ausstellung der Hobbyhandwerker, Isarman, ...) (optional)","Wie sicher fühlen Sie sich auf den Moosburger Volksfesten?","Wie sicher fühlen Sie sich auf den Moosburger Volksfesten? - Zusätzliche Informationen (optional)","Sonstige Anregungen, Lob & Kritik (optional)"
"28.09.2024","13:28","","38","Ja","Mittwoch, Freitag, Samstag, Sonntag","14 bis 18 Uhr","","zu Fuß","6","Super Beschilderung von Rad und PKW Abstellmöglichkeiten vor Ort, aber vielleicht sollten diese Infos auch auf den Flyer bzw. auf Aufstellwände rund ums Gelände. Für Anwohner ist es manchmal schwer bis unmöglich aus der eigenen Einfahrt raus / rein zu kommen. Falschparker sollten zur Herbstschauzeit stärker kontrolliert werden, da ja die offiziellen Parkplätze alle nah und vor allem kostenlos sind.","","Von den Ständen auf dem Festplatz","vegetarisch","3","3","3","","Von den Ständen auf dem Festplatz","4","4","","4","4","Super! Umzug und Isarman unbedingt beibehalten, macht Spaß zum Mitmachen und  Zuschauen!","6","","Die Viehmarktstraße sollte während den Festzeiten (Frühjahr und Herbstschau) stärker durch die Verkehrsüberwachung / Polizeipräsenz überprüft werden. Das Einfahrt verboten Schild wurde diesen Herbst von den Meisten getrost übersehen; die Beschilderung war dieses Jahr in Ordnung, aber für Anwohner sind viele wendende Autos und wild parkende Fahrräder rund um den Huber Metzger manchmal eine direkte Nötigung. Wir genießen die Volksfest Zeit und unterstützen den Trubel, aber da viele Menschen wohl leider nicht mehr lesen können bitte gerne öfter kontrollieren! Und wie oben vermerkt als Idee: die Park und Abstellmöglichkeiten für Räder und Autos ist Moosburg fremden Personen vielleicht nicht gleich klar, deshalb gerne auch nochmal auf den allgemeinen Flyer, bei der Internet Ankündigung auf der Moosburg Seite und vielleicht auch mit Bannern rund um den Festplatz genauer beschreiben (das funktioniert am Plan gerade ganz gut!). Danke und ein generelles Lob noch an den Bauhof und die vielen städtischen Organisatoren rundum. Ihr managt die Sperrung und Räumung des Viehmarktplatzes immer top!!"
"28.09.2024","13:25","","41","Ja","Mittwoch, Freitag, Samstag, Sonntag","14 bis 18 Uhr","","zu Fuß","6","Problem: Gefährdung der zu Fuß und mit dem Fahrrad anreisenden Gäste durch Falschparker im Bereich Viehmarktstraße.","","Von den Ständen auf dem Festplatz","vegetarisch","5","4","4","","Im Festzelt","4","4","","4","4","","5","","Problem: Gefährdung der zu Fuß und mit dem Fahrrad anreisenden Gäste durch Falschparker im Bereich Viehmarktstraße - diese sollte laut temporärer Beschilderung eigentlich nur für Anlieger zugänglich sein"
"28.09.2024","09:53","","84","Ja","Montag, Freitag, Sonntag","Nach 18 Uhr","","zu Fuß","5","In der Unterführung neben dem Kulturgraben wird der Fuß-und Radweg zu spät beleuchtet.Mädchen trauen sich bei Dämmerung nicht mehr durch die Unterführung nach Hause.Es gibt fast keine Parkmöglichkeiten in der Nähe, überall ist Parkverbot. Warum müssen die Fahrzeuge der Schausteller am Festplatz stehen?","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","3","3","3","","Im Festzelt, Von den Ständen auf dem Festplatz","3","3","","4","3","Der Herbstschauumzug ist immer sehr schön und abwechslungsreich.","4","","Das Festbier wird von vielen Besuchern nicht gelobt und daher kommen Gäste aus unserem Bekanntenkreis nicht mehr nach Moosburg zur Herbstschau."
"28.09.2024","08:09","","43","Ja","Donnerstag, Freitag, Samstag","14 bis 18 Uhr, Nach 18 Uhr","","zu Fuß","3","Mehr Parkplätze mit Busanbindung zum Festplatz wäre super","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","4","3","4","","Im Festzelt, Von den Ständen auf dem Festplatz","4","4","","4","3","","6","","Das gesamte Fest könnte etwas moderner werden. Länger Öffnungszeiten am Wochenende wären super."
"27.09.2024","10:10","","54","Nein","Freitag, Samstag, Sonntag","Nach 18 Uhr","","PKW","3","Aufgrund körperlicher Einschränkung ist Fußweg immer in Kauf zu nehmen. Keine direkten Parkplätze vor Ort. Fußgängerüberweg (Ampel) Stadtwaldstraße ist auf der Seite beim Volksfest komplett mit Fahrrädern zugestellt (kein Durchkommen mit Rollator). Der mit Ketten gekennzeichnete ""Eingang"" ist nicht direkt bei der Ampel (man muss etwas seitlich auf der Straße gehen. Mit Rollator etwas mühselig und auch gefährlich.","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","6","3","5","","Im Festzelt, Von den Ständen auf dem Festplatz","3","5","","5","4","Ausgewogen. Für jeden etwas dabei.","6","Genug Sicherheitskräfte vor Ort, gab noch nie irgendwelche Probleme",""
"26.09.2024","22:42","","34","Ja","Donnerstag, Freitag","14 bis 18 Uhr","","zu Fuß","5","","","Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","5","1","4","","Im Festzelt","2","3","","3","4","","3","",""
"26.09.2024","20:43","","40","Ja","Freitag, Samstag, Sonntag","14 bis 18 Uhr, Nach 18 Uhr","","Fahrrad, zu Fuß","6","","","Von den Ständen auf dem Festplatz","vegetarisch, glutenfrei","2","3","1","","Im Festzelt","3","4","","2","4","","5","",""
"26.09.2024","18:59","","43","Nein","Samstag","14 bis 18 Uhr","","PKW","6","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","5","2","5","","Im Festzelt","2","5","","4","6","","5","",""
"26.09.2024","14:36","","","Ja","Freitag, Samstag","Nach 18 Uhr","","Fahrrad, zu Fuß","6","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","5","4","4","","Im Festzelt","5","3","","5","3","","6","","Andere Biermarke wäre schön."
"26.09.2024","12:04","","45","Ja","Montag, Mittwoch, Samstag, Sonntag","Vor 14 Uhr, 14 bis 18 Uhr","","zu Fuß","3","Position der Radlständer ist schlecht, da man als Fußgänger nicht gut durchkommt Zu wenige Radlständer vorhanden","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","5","3","5","","Im Festzelt","1","5","","4","5","","6","","Speisen im Festzelt extrem teuer Im Bierzelt/Biergarten dauert das Essen und Trinken teilweise extrem lang, Wartezeiten bis zu 30 Minuten obwohl Biergarten/Zelt nicht voll sind"
"26.09.2024","11:22","","35","Ja","Freitag, Samstag","Nach 18 Uhr","","PKW","3","zu wenige Parkplätze vorhanden","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","6","4","5","","Im Festzelt, Von den Ständen auf dem Festplatz","3","5","","5","5","eine Nutzung der Mehrzweckhalle als Weinhalle (analog zum Freisinger Volksfest) wäre super  Umzug, Ausstellung der Hobbyhandwerker, etc. sind uninteressant und kann man sich sparen","4","",""
"26.09.2024","11:07","","55","Nein","Mittwoch","14 bis 18 Uhr","","PKW","5","","","Im Festzelt","vegetarisch","5","2","4","","Im Festzelt","1","2","","5","6","","6","","Ich war mit meinen Enkelkinder am Familiennachmittag auf der Herbstschau, wir wurden durchgehend freundlich bedient, ausser beim Büchsenwerfen - die Dame sollte nicht am Familientag arbeiten, wenn sie Kinder nicht mag!"
"26.09.2024","10:09","","62","Ja","Mittwoch","14 bis 18 Uhr","","zu Fuß","6","","","Im Festzelt","keine zusätzlichen Angebote notwendig","3","1","3","","Im Festzelt","2","3","","4","4","","5","","Sehr unprofessionelle Programmierung der Umfrage - unter Safari nicht nutzbar!!!"
"26.09.2024","09:16","","44","Ja","Mittwoch, Sonntag","Vor 14 Uhr, 14 bis 18 Uhr","","Fahrrad","6","","","Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","5","3","5","","Im Festzelt","3","3","","5","4","","4","",""
"26.09.2024","08:19","","24","Ja","Mittwoch, Freitag, Samstag","Nach 18 Uhr","","Fahrrad","6","","","Im Festzelt","keine zusätzlichen Angebote notwendig","6","3","5","","Im Festzelt","4","5","","5","4","Könnte man drauf verzichten.","5","",""
"26.09.2024","07:46","","53","Nein","Montag, Freitag","14 bis 18 Uhr, Nach 18 Uhr","","Fahrrad","5","","","Im Festzelt","keine zusätzlichen Angebote notwendig","5","2","2","","Im Festzelt","3","3","","3","4","Schöner Umzug","5","Ziemlich sicher","Gerne beim Kindertag ein zusätzliches Kinderprogramm wie auf umliegenden Volksfesten auch."
"26.09.2024","07:25","","47","Ja","Montag, Dienstag, Mittwoch, Donnerstag, Freitag, Samstag, Sonntag","Vor 14 Uhr, 14 bis 18 Uhr","","PKW, zu Fuß","5","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","6","4","6","","Im Festzelt, Von den Ständen auf dem Festplatz","5","6","","5","6","","6","",""
"26.09.2024","06:28","","46","Ja","Dienstag, Mittwoch","14 bis 18 Uhr","","zu Fuß","3","Bessere Kontrolle der wild zugeparkten Flächen.","","Von den Ständen auf dem Festplatz","vegetarisch","6","2","3","","Von den Ständen auf dem Festplatz","2","3","","1","2","Isarman und Umzug okay, hobbykünstler besuche ich nicht, da eine reine Ausstellung ohne Verkauf etwas tröge ist und eh nur immer die gleichesachen wie ostern, weihnachten usw.","3","","Bedingungen sollten ordentlich rechnen können,  bzw wert der Marken beherrschen. Seit Jahren ein Grund das essen zu holen und wieder zu gehen"
"26.09.2024","05:34","","54","Ja","Freitag, Samstag","Nach 18 Uhr","","Fahrrad, zu Fuß","5","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","6","2","4","","Im Festzelt","4","4","","4","4","Feuerwerk ist gut, Umzug finde ich altmodisch und immer das gleiche, kann man auch drauf verzichten","5","",""
"25.09.2024","19:41","","59","Ja","Montag, Dienstag, Mittwoch, Donnerstag, Freitag, Samstag","14 bis 18 Uhr","","Fahrrad, zu Fuß","5","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","1","2","1","","Im Festzelt","1","5","","4","4","","5","","Das Essen im Bierzelt ist schlecht. Schweinshaxn hart und abgelagert, Currywurst mit Pommes furchtbar schlecht, Hendl zu stark gegrillt, Fleisch ist aussen hart gebrannt."
"25.09.2024","18:20","","50","Ja","Freitag, Samstag","Nach 18 Uhr","","Fahrrad","5","","","Von den Ständen auf dem Festplatz","vegetarisch, vegan","5","2","4","","Im Festzelt","4","5","","5","5","grösstenteils gut … ein Kabarett o.ä. unter der Woche wäre mal interessant","5","","der Viehmarktplatz ist wegen Auf - und Abbauarbeiten leider viel zu lange gesperrt  ( v.a. für Leute, die in Moosburg arbeiten )"
"25.09.2024","16:39","","25","Ja","Donnerstag, Freitag, Samstag, Sonntag","14 bis 18 Uhr, Nach 18 Uhr","","Fahrrad, zu Fuß","6","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","6","2","5","","Im Festzelt","2","6","","5","4","- breites zusätzliches Programm vorhanden - bessere Fahrgeschäfte auch für ältere und Jugendliche (es waren schon Fahrgeschäfte mit Überschlag etc. da, diese fehlten z.B. dieses Jahr) wünschenswert","6","Security nett und bestimmend","Lob: in Summe rundes & gutes Fest, Verbesserungen in der Auswahl der Bands spürbar besser geworden  Kritik: - andere Brauerei für das Festbier wünschenswert, Erdinger Festbier kommt nicht gut in meinem Umkreis an, z.B. Freisinger oder Landshuter etwas besser => dahingegen Erdinger Weißbier sehr gut und denke ich auch gut von den Besuchern angenommen  - Weißbierhütte ist ein wichtiger Stützpunkt für Generation zwischen 20-30 Jahren, welcher durch einen Betreiberwechsel auf gar keinen Fall wegfallen darf => alternativ würde sich auch sehr gut ein Weißbierkarusell wie in Landshut anbieten."
"25.09.2024","15:34","","49","Ja","Sonntag","14 bis 18 Uhr","","zu Fuß","6","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","5","4","5","","Im Festzelt","5","4","","5","4","","6","",""
"25.09.2024","15:13","","30","Ja","Donnerstag, Freitag, Samstag","Nach 18 Uhr","","Fahrrad","6","","","Im Festzelt","vegan","1","3","1","","Im Festzelt","3","3","","3","4","Weiß von den Nebenveranstaltung gar Nichts ^^ bekomme davon Nichts mit.","5","","Keine Glücksspiel-Buden auf dem Festgelände. Lieber mehr Spiele wie Dosenwerfen, Ballonplatzen, Kamelreiten, etc. und Fahrgeschäfte."
"25.09.2024","13:54","","35","Ja","Samstag, Sonntag","Vor 14 Uhr, 14 bis 18 Uhr","","zu Fuß","6","","","Von den Ständen auf dem Festplatz","vegetarisch","5","4","3","","Von den Ständen auf dem Festplatz","4","3","","4","4","","5","",""
"25.09.2024","12:59","","30","Ja","Freitag, Samstag","Nach 18 Uhr","","Fahrrad, zu Fuß","5","","","Im Festzelt","vegetarisch, vegan","4","4","4","","Im Festzelt, Von den Ständen auf dem Festplatz","3","2","","4","3","","5","",""
"25.09.2024","11:39","","24","Ja","Freitag, Samstag","14 bis 18 Uhr, Nach 18 Uhr","","zu Fuß","6","","","Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","6","4","5","","Im Festzelt","3","4","","5","4","","6","",""
"25.09.2024","10:16","","33","Nein","Samstag","Nach 18 Uhr","","Zug","6","","","Im Festzelt","vegetarisch, vegan","2","5","3","","Im Festzelt","4","2","","4","4","","2","","Alkoholfreies Helles wäre noch ganz wunderbar."
"25.09.2024","08:00","","17","Nein","Freitag, Samstag","Nach 18 Uhr","","PKW","3","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","4","4","3","","Im Festzelt","4","6","","4","3","","5","",""
"25.09.2024","06:38","","27","Nein","Freitag, Samstag","Nach 18 Uhr","","zu Fuß","6","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","6","4","6","","Im Festzelt","5","5","","5","6","Isarman","6","Was für eine blöde Frage.",""
"23.09.2024","20:30","","48","Ja","Freitag","14 bis 18 Uhr","","Fahrrad","1","","","Von den Ständen auf dem Festplatz","vegetarisch","2","1","2","","Von den Ständen auf dem Festplatz","2","3","","3","3","","6","",""
"23.09.2024","19:16","","57","Ja","Dienstag, Donnerstag, Freitag, Samstag, Sonntag","14 bis 18 Uhr, Nach 18 Uhr","","Fahrrad","5","","","Im Festzelt, Von den Ständen auf dem Festplatz","vegetarisch","5","4","5","","Im Festzelt, Von den Ständen auf dem Festplatz","5","4","","5","5","","4","",""
"23.09.2024","17:37","","38","Ja","Freitag, Samstag","Nach 18 Uhr","","Fahrrad, PKW","2","Leider fahren am WE keine Busse in Moosburg, so ist man gezwungen mit dem Auto zu fahren, außer das Wetter passt und man kann radeln. Der öffentliche Nahverkehr ist generell ein Problem. Am WE fährt nur das Ruftaxi, was aber vorbestellt werden muss, also extrem unflexible. Warum hat Moosburg mit über 20.000 Einwohnern keinen gescheiten öffentlichen Nahverkehr?","","Von den Ständen auf dem Festplatz","vegetarisch","3","2","3","","Im Festzelt","5","5","","3","3","Den Umzug schaue ich mir nicht an, dazu kann ich nichts sagen. Alles könnte etwas moderner sein, aber es passt schon. Um mehr Internationales zu erleben fährt man dann eben nach Freising, oder nach München.","6","Ich fühle mich generell sehr sicher in Moosburg. Die größte Gefahr geht ganzjährig von Rasern aus, die mit überhöhter Geschwindigkeit durch Moosburg preschen.","- Busse die einen am WE zum Festplatz bringen.  - Das Essen an den Buden ist zu teuer. Ich zahle gerne den Preis, wenn ich was besonderes bekomme, was aber nicht der Fall ist. - Getränkepreise auf dem Festzelt sind echt fair, super!  - Vielleicht mal was anderes ausprobieren, einen Food-Wagen mit internationalen Speisen, das wär mal was."
"23.09.2024","16:15","","","Ja","Montag, Dienstag, Mittwoch, Donnerstag, Freitag, Samstag, Sonntag","Nach 18 Uhr","","zu Fuß","6","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","6","3","5","","Im Festzelt, Von den Ständen auf dem Festplatz","3","5","","5","3","","6","",""
"23.09.2024","16:07","","50","Ja","Samstag, Sonntag","14 bis 18 Uhr, Nach 18 Uhr","","Fahrrad, zu Fuß","6","","","Von den Ständen auf dem Festplatz","vegetarisch","3","2","3","","Im Festzelt","2","6","","6","6","","6","",""
"23.09.2024","16:07","","17","Nein","Freitag, Samstag","Nach 18 Uhr","","Bus, Zug","4","Bitte Möglichkeiten, wie Bus, in Dörfer wie Marzling oder Langenbach zurück zu kommen.","","Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","6","3","3","","Im Festzelt","3","5","","2","4","","5","",""
"23.09.2024","14:59","","49","Ja","Mittwoch, Freitag, Samstag, Sonntag","14 bis 18 Uhr, Nach 18 Uhr","","Fahrrad, zu Fuß","5","Ein Shuttlebus (Orte in der Umgebung, Bahnhof) wäre eine Überlegung wert.","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","5","3","5","","Im Festzelt, Von den Ständen auf dem Festplatz","3","5","","4","4","Mehr Sportveranstaltungen oder (Saisonvorbereitungs-) Turniere zur Herbstschauzeit könnten vielleicht noch mehr Besucher auf den Festplatz locken.","5","","Lob: Es ist eine gute Sache, dass es neben dem normalen Festbier auch Weißbier auf der Herbstschau gibt. Bitte unbedingt beibehalten!"
"23.09.2024","13:56","","42","Ja","Mittwoch, Sonntag","14 bis 18 Uhr","","Fahrrad, zu Fuß","5","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","6","4","5","","Im Festzelt, Von den Ständen auf dem Festplatz","3","4","","4","4","","5","",""
"23.09.2024","12:17","","58","Ja","Freitag, Samstag, Sonntag","14 bis 18 Uhr, Nach 18 Uhr","","Fahrrad","5","","","Im Festzelt, Von den Ständen auf dem Festplatz","vegetarisch","5","4","5","","Im Festzelt, Von den Ständen auf dem Festplatz","2","5","","5","4","","5","",""
"23.09.2024","09:23","","","Nein","Dienstag, Mittwoch, Freitag, Samstag","Vor 14 Uhr, Nach 18 Uhr","","PKW","4","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","5","3","5","","Im Festzelt","4","6","","5","5","","6","",""
"23.09.2024","08:04","","","Ja","Samstag, Sonntag","14 bis 18 Uhr, Nach 18 Uhr","","Fahrrad, zu Fuß","4","Parkplätze sind viel zu wenig","","Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","5","3","5","","Im Festzelt","3","3","","5","4","","4","",""
"22.09.2024","21:53","","34","Ja","Dienstag, Donnerstag, Freitag, Samstag, Sonntag","Vor 14 Uhr, 14 bis 18 Uhr","","Fahrrad, zu Fuß","6","","","Im Festzelt, Von den Ständen auf dem Festplatz","vegetarisch, vegan","4","4","4","","Im Festzelt","5","5","","4","4","","6","",""
"22.09.2024","21:50","","36","Ja","Dienstag, Samstag","14 bis 18 Uhr","","Fahrrad","3","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","5","2","3","","Im Festzelt","3","4","","3","3","Umzug und Isarman ist sehr gut!","5","","Musik zum Mittagstisch am Wochenende wäre toll! Und Öffnung der Fahrgeschäfte ab 13 Uhr am Wochenende."
"22.09.2024","21:40","","24","Ja","Donnerstag, Freitag, Samstag, Sonntag","14 bis 18 Uhr, Nach 18 Uhr","","Fahrrad, zu Fuß","4","","","Im Festzelt, Von den Ständen auf dem Festplatz","vegetarisch","2","3","2","","Im Festzelt, Von den Ständen auf dem Festplatz","3","5","","5","5","","5","",""
"22.09.2024","19:30","","16","Nein","Freitag, Samstag","Nach 18 Uhr","","Fahrrad, PKW","5","","","Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","4","2","5","","Im Festzelt","4","5","","4","3","sehr tolles feuerwerk","5","dieses jahr durch großes polizeiaufgebot recht sicher. im jahr zuvor wollte sich jemand mit mir prügeln und einschüchtern",""
"22.09.2024","19:28","","20","Nein","Freitag, Samstag","Nach 18 Uhr","","Fahrrad, PKW","6","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","6","3","5","","Im Festzelt, Von den Ständen auf dem Festplatz","3","6","","6","6","","6","",""
"22.09.2024","16:57","","35","Ja","Sonntag","14 bis 18 Uhr","","zu Fuß","6","","","Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","4","4","5","","Von den Ständen auf dem Festplatz","4","4","","4","4","","6","",""
"22.09.2024","15:54","","26","Ja","Sonntag","14 bis 18 Uhr","","zu Fuß","5","","","Im Festzelt, Von den Ständen auf dem Festplatz","vegetarisch, vegan","2","4","3","","Im Festzelt","4","6","","5","4","","6","",""
"22.09.2024","12:16","","38","Ja","Mittwoch, Samstag","14 bis 18 Uhr","","zu Fuß","5","","","Von den Ständen auf dem Festplatz","vegetarisch","2","3","3","","Im Festzelt","3","4","","4","4","","6","",""
"22.09.2024","10:43","","38","Nein","Donnerstag, Freitag, Samstag, Sonntag","14 bis 18 Uhr, Nach 18 Uhr","","PKW","5","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","2","1","4","","Im Festzelt","1","3","","5","4","","4","",""
"22.09.2024","08:15","","32","Ja","Freitag","14 bis 18 Uhr, Nach 18 Uhr","","Fahrrad","6","","","Von den Ständen auf dem Festplatz","vegetarisch","5","3","4","","Im Festzelt, Von den Ständen auf dem Festplatz","3","5","","4","5","","6","",""
"22.09.2024","01:02","","36","Ja","Freitag, Samstag, Sonntag","14 bis 18 Uhr, Nach 18 Uhr","","Fahrrad, zu Fuß","6","","","Im Festzelt, Von den Ständen auf dem Festplatz","vegetarisch","5","3","5","","Im Festzelt, Von den Ständen auf dem Festplatz","2","4","","2","4","","5","",""
"21.09.2024","23:54","","","Ja","Montag, Samstag","14 bis 18 Uhr","","zu Fuß","6","","","Im Festzelt, Von den Ständen auf dem Festplatz","laktosefrei, glutenfrei","5","4","5","","Im Festzelt","5","5","","6","5","","6","",""
"21.09.2024","21:52","","30","Nein","Samstag","14 bis 18 Uhr, Nach 18 Uhr","","PKW","6","","","Im Festzelt","keine zusätzlichen Angebote notwendig","6","2","6","","Im Festzelt","2","6","","6","5","","5","","Wir gehen jedes Jahr sehr gerne auf die Herbstschau!  Dich wir waren schockiert wie unhöflich und übergreifend der Umgang heute war. Die 3 Personen (2 Männer und die Dame an der Kasse/hinterm Mikrofon) vom Heppenheimer Kinderkarusell sollten sich schämen. Es wird nur geschimpft,  Kinder werden angeschrien und an den Armen gezogen und Eltern werden bei Rückmeldungen beleidigt. Dazu kommt das Fahrrunden abgebrochen werden obwohl dafür bezahlt wurde.   Auf die Frage, wieso mein Kind aus dem Fahrgestellt steigen soll (hat bereits einen bezahlten Fahrchip) werden Schimpfwörter um sich geschmissen, Beleidigungen fallen, auch durchs Mikrofon und man wird angeschrien. Das ist absolut kein netter Umgang. Da fragt man sich schon, ob das Personen sind, die mit Kindern ""arbeiten"" sollten. Nachdem sämtliche Beleidigung in einer unangemessenen Lautstärke gefallen sind, hat sich die Lage erst mit der Drohung die Polizei dazu zu rufen, beruhigt.   Wahnsinnig enttäuschendes Erlebnis, vor allem für meinen knapp 3 jährigen Sohn, der natürlich nicht verstanden hat wieso er aus dem Fahrgeschäft aussteigen musste."
"21.09.2024","20:45","","18","Nein","Samstag","Nach 18 Uhr","","zu Fuß","6","","","Im Festzelt, Von den Ständen auf dem Festplatz","vegan, halal/koscher, laktosefrei, glutenfrei","6","4","5","","Im Festzelt","3","5","","4","4","","6","",""
"21.09.2024","20:12","","41","Ja","Montag, Dienstag, Samstag, Sonntag","14 bis 18 Uhr, Nach 18 Uhr","","zu Fuß","4","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","5","2","5","","Im Festzelt, Von den Ständen auf dem Festplatz","3","4","","5","5","","4","",""
"21.09.2024","17:56","","34","Ja","Donnerstag, Freitag, Samstag, Sonntag","14 bis 18 Uhr, Nach 18 Uhr","","Fahrrad","6","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","5","4","5","","Im Festzelt","5","6","","6","6","","6","",""
"21.09.2024","13:59","","27","Ja","Montag, Samstag, Sonntag","14 bis 18 Uhr, Nach 18 Uhr","","Fahrrad, zu Fuß","6","","","Im Festzelt","keine zusätzlichen Angebote notwendig","5","3","5","","Im Festzelt","4","4","","5","5","","5","",""
"21.09.2024","13:15","","60","Ja","Mittwoch, Sonntag","Nach 18 Uhr","","Fahrrad, zu Fuß","5","Solange die Parkplätze wegen der Bauarbeiten nicht zur Verfügung stehen, könnten die zur Verfügung stehenden Parkplätze komplett gebührenfrei sein und auch gnädiger mit Falschparkern bezüglich Ordnungsgeldern umgegangen werden. Es heisst immer man sollte die örtlichen Geschäfte und Gastro in Moosburg besuchen. Das ist für viele wegen der fehlenden Parkplätze nicht machbar. Also, Vorschlag: etwas mehr Gelassenheit während der Umbauphasen in der Stadt, wäre nur fair auch den Gewerbetreibenden gegenüber. Der Staat sollte mithelfen , dass es seiner Bevölkerung gut geht. Das wäre ein kleiner Beitrag dazu. Danke","","Von den Ständen auf dem Festplatz","vegetarisch","5","3","4","","Von den Ständen auf dem Festplatz","3","4","","4","4","Sehr gut","5","",""
"21.09.2024","09:51","","35","Ja","Dienstag, Freitag, Samstag, Sonntag","Vor 14 Uhr, 14 bis 18 Uhr, Nach 18 Uhr","","Fahrrad, zu Fuß","6","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","6","4","6","","Im Festzelt","3","6","","6","6","","6","",""
"21.09.2024","09:39","","","Nein","Freitag, Samstag, Sonntag","14 bis 18 Uhr","","PKW","4","","","Von den Ständen auf dem Festplatz","halal/koscher","3","2","4","","Von den Ständen auf dem Festplatz","2","4","","3","4","","5","","Andere Fahrgeschäfte für Kleinkinder."
